sample	common_class	ARG_loci	ARG_present	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction	virus_ARG_loci	virus_ARG_fraction	chromosome_ARG_loci	chromosome_ARG_fraction	ARG_locus_fraction
ERR1713348	Aminoglycoside	4	1	0	0.0	0	0.0	0	0.0	4	1.0	0.06896551724137931
ERR1713348	Beta-lactam	11	1	2	0.18181818181818182	2	0.18181818181818182	0	0.0	9	0.8181818181818182	0.1896551724137931
ERR1713348	Fosfomycin	1	1	0	0.0	0	0.0	0	0.0	1	1.0	0.017241379310344827
ERR1713348	MLS	12	1	1	0.08333333333333333	1	0.08333333333333333	0	0.0	11	0.9166666666666666	0.20689655172413793
ERR1713348	Phenicol	3	1	1	0.3333333333333333	1	0.3333333333333333	0	0.0	2	0.6666666666666666	0.05172413793103448
ERR1713348	Quinolone	10	1	2	0.2	2	0.2	0	0.0	8	0.8	0.1724137931034483
ERR1713348	Rifamycin	3	1	1	0.3333333333333333	1	0.3333333333333333	0	0.0	2	0.6666666666666666	0.05172413793103448
ERR1713348	Sulfonamide	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713348	Tetracycline	14	1	3	0.21428571428571427	3	0.21428571428571427	0	0.0	11	0.7857142857142857	0.2413793103448276
ERR1713348	Trimethoprim	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713349	Aminoglycoside	10	1	10	1.0	9	0.9	0	0.0	1	0.1	0.06097560975609756
ERR1713349	Beta-lactam	25	1	25	1.0	17	0.68	0	0.0	8	0.32	0.1524390243902439
ERR1713349	Fosfomycin	7	1	7	1.0	4	0.5714285714285714	0	0.0	3	0.42857142857142855	0.042682926829268296
ERR1713349	MLS	25	1	25	1.0	20	0.8	0	0.0	5	0.2	0.1524390243902439
ERR1713349	Phenicol	13	1	13	1.0	7	0.5384615384615384	1	0.07692307692307693	5	0.38461538461538464	0.07926829268292683
ERR1713349	Quinolone	36	1	36	1.0	18	0.5	1	0.027777777777777776	17	0.4722222222222222	0.21951219512195122
ERR1713349	Rifamycin	6	1	6	1.0	4	0.6666666666666666	0	0.0	2	0.3333333333333333	0.036585365853658534
ERR1713349	Sulfonamide	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713349	Tetracycline	37	1	37	1.0	20	0.5405405405405406	0	0.0	17	0.4594594594594595	0.22560975609756098
ERR1713349	Trimethoprim	5	1	5	1.0	2	0.4	0	0.0	3	0.6	0.03048780487804878
ERR1713350	Aminoglycoside	16	1	16	1.0	10	0.625	0	0.0	6	0.375	0.08163265306122448
ERR1713350	Beta-lactam	36	1	36	1.0	29	0.8055555555555556	0	0.0	7	0.19444444444444445	0.1836734693877551
ERR1713350	Fosfomycin	8	1	8	1.0	3	0.375	0	0.0	5	0.625	0.04081632653061224
ERR1713350	MLS	26	1	26	1.0	21	0.8076923076923077	1	0.038461538461538464	4	0.15384615384615385	0.1326530612244898
ERR1713350	Phenicol	15	1	15	1.0	10	0.6666666666666666	0	0.0	5	0.3333333333333333	0.07653061224489796
ERR1713350	Quinolone	37	1	37	1.0	23	0.6216216216216216	0	0.0	14	0.3783783783783784	0.18877551020408162
ERR1713350	Rifamycin	10	1	10	1.0	9	0.9	0	0.0	1	0.1	0.05102040816326531
ERR1713350	Sulfonamide	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713350	Tetracycline	45	1	45	1.0	26	0.5777777777777777	1	0.022222222222222223	18	0.4	0.22959183673469388
ERR1713350	Trimethoprim	3	1	3	1.0	2	0.6666666666666666	0	0.0	1	0.3333333333333333	0.015306122448979591
ERR1713352	Aminoglycoside	12	1	12	1.0	11	0.9166666666666666	1	0.08333333333333333	0	0.0	0.1
ERR1713352	Beta-lactam	21	1	21	1.0	8	0.38095238095238093	1	0.047619047619047616	12	0.5714285714285714	0.175
ERR1713352	Fosfomycin	9	1	9	1.0	4	0.4444444444444444	0	0.0	5	0.5555555555555556	0.075
ERR1713352	MLS	23	1	23	1.0	14	0.6086956521739131	1	0.043478260869565216	8	0.34782608695652173	0.19166666666666668
ERR1713352	Phenicol	5	1	5	1.0	1	0.2	1	0.2	3	0.6	0.041666666666666664
ERR1713352	Quinolone	25	1	25	1.0	6	0.24	2	0.08	17	0.68	0.20833333333333334
ERR1713352	Rifamycin	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713352	Sulfonamide	1	1	1	1.0	1	1.0	0	0.0	0	0.0	0.008333333333333333
ERR1713352	Tetracycline	20	1	20	1.0	7	0.35	3	0.15	10	0.5	0.16666666666666666
ERR1713352	Trimethoprim	4	1	4	1.0	1	0.25	0	0.0	3	0.75	0.03333333333333333
ERR1713354	Aminoglycoside	10	1	10	1.0	10	1.0	0	0.0	0	0.0	0.1
ERR1713354	Beta-lactam	18	1	18	1.0	15	0.8333333333333334	1	0.05555555555555555	2	0.1111111111111111	0.18
ERR1713354	Fosfomycin	3	1	3	1.0	1	0.3333333333333333	0	0.0	2	0.6666666666666666	0.03
ERR1713354	MLS	16	1	16	1.0	12	0.75	0	0.0	4	0.25	0.16
ERR1713354	Phenicol	5	1	5	1.0	4	0.8	0	0.0	1	0.2	0.05
ERR1713354	Quinolone	16	1	16	1.0	12	0.75	0	0.0	4	0.25	0.16
ERR1713354	Rifamycin	6	1	6	1.0	6	1.0	0	0.0	0	0.0	0.06
ERR1713354	Sulfonamide	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713354	Tetracycline	23	1	23	1.0	17	0.7391304347826086	1	0.043478260869565216	5	0.21739130434782608	0.23
ERR1713354	Trimethoprim	3	1	3	1.0	2	0.6666666666666666	0	0.0	1	0.3333333333333333	0.03
ERR1713355	Aminoglycoside	21	1	21	1.0	18	0.8571428571428571	1	0.047619047619047616	2	0.09523809523809523	0.10824742268041238
ERR1713355	Beta-lactam	33	1	33	1.0	24	0.7272727272727273	0	0.0	9	0.2727272727272727	0.17010309278350516
ERR1713355	Fosfomycin	14	1	14	1.0	3	0.21428571428571427	0	0.0	11	0.7857142857142857	0.07216494845360824
